Numara,Başlık,Açıklama,Tarih,Kılavuz Adı,Belge Adı,hasExplanation,Parent Numara,isMain
5.1.3.3,kurul üyeleri soru seti cevaplasın,"kurul üyelerinin öneriyi değerlendirirken, belirlediğiniz soru setini cevaplamasını isterseniz ayarı aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.3,0
5.1.3.4,kurula özel soru seti,"kurulun farklı soru setlerini cevaplamasını isterseniz öncelikle ayarı aktif edebilir, ardından soru setlerinizi tanımlayabilir sonrası kullanıcı grupları ayarlarına giderek soru setleri kurullarını eşleştirebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.3,0
5.1.3.5,kurul üyesi ret gerekçesi seçebilir,"kurul üyelerinin, ret işlemi yaparken gerekçe girmesini isterseniz ayarı aktif edebilirsiniz..",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.3,0
5.1.3.6,bekleme süresi,"bir kurul üyesinde bekleyen önerinin, kurul üyesinde bekleme süresini belirlemek ayarı aktif edebilirsiniz. ayara girdiğiniz gün dolduğunda kurul üyesi onay vermiş sayılacaktır.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.3,0
5.1.3.7,kurul üyelerinin yanıt vermesini bekle,"gerekli onay sayısı girilerek oy çokluğuyla onay vermek değil, oy birliği onay verilmesini isterseniz kurul üyelerinin onay vermesini bekleyebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.3,0
5.1.3.8,kurul üyeleri öneriyi reddedebilsin,kurul üyeleri tarafından yapılan ret işlemi birlikte öneri başka işleme gerek kalmadan direkt reddedilebilsin istiyorsanız ayarı aktif edebilirisiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.3,0
5.1.4,muhasebe raporu / ödüllendirme ayarı,,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,0,5.1,0
5.1.4.1,kabul ödülü açık olsun,"belirli süreç süreçlere girilen öneriler, ilk kontrol sonrası kabul edilerek işleme alınırsa standart bir ödül hak etsin istiyorsanız ayarı aktif edebilirsiniz. süreçten bağımsız olarak öneri standart bir puan kazansın istiyorsanız “standart ödül” alanına istediğiniz puanı yazabilirsiniz. belirli süreçler farklı ödüllendirme olmak istiyorsanız süreçlerinizi seçtikten sonra önerinin soru seti, öneri türü, öneri kazancı vs. çeşitli şekillerde kazandığı puan, “öneri puanı”’na girdiğiniz değerden; • küçükse, “öneri puanı seçilen puandan olursa ödenecek ödül” alanında yer alan min. puanla, • büyükse, “öneri puanı seçilen puandan fazla olursa ödenecek ödül” alanında yer alan max. puanla ödüllendirilecektir.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.4,0
5.1.4.2,şampiyonluk ödülü açık olsun,not: “bu süreci kullanmak lütfen iletişime geçiniz.”,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.4,0
5.1.4.3,uygulanma ödülü açık olsun,,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,0,5.1.4,0
5.1.5,öneri ana veri ayarları,,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,0,5.1,0
5.1.5.1,kök nedenlerin tanımlanması,öneri girişi esnasında seçimi yapılan “kök nedeni” verilerini tanımlayabilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.5,0
5.1.5.2,öneri türlerinin tanımlanması,öneri girişi esnasında seçimi yapılan “öneri türü” verilerini tanımlayabilirsiniz. tanımlaması yapılan öneri türleri “puan” ataması yapabiliriniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.5,0
5.1.5.3,öneri ret nedenlerinin tanımlanması,"öneri ret nedenlerinin tanımlanmasını bakımını yapabilirsiniz. önerinizin, ret nedeni bazında ödüllendirilmesini istiyorsanız, ret nedenlerine puan tanımlayabilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.5,0
5.1.6,soru seti ayarları,"öneri değerlendirme aşamasında kullanabileceğiniz süreç sorumlusu kurul üyelerine gönderebileceğiz soruları ekrandan tanımlayabilirsiniz. metin girişi, tek yanıtlı, yanıtlı puan girişi şeklinde farklı tiplerde yanıtlar tanımlayabilirsiniz. yanıt ayrı puanlar girebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1,0
5.1.7,şampiyonluk ayarları,not: “bu süreci kullanmak lütfen iletişime geçiniz.”,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1,0
5.1.8,giriş sırası,öneri oluşturma ekranında yer almasını istediğiniz alanları seçebilir görüntülenecekleri sıraları belirleyebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1,0
5.2,kaizen ayarları,,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,0,5,0
5.2.1,kaizen ana veri ayarları,,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,0,5.2,0
5.2.1.1,kaizen onaycılarının tanımlanması,girilen kaizenlerin ilk aşamada belirli onaycı onaycıların kontrolünden geçmesini istiyorsanız ayarı kullanarak tek seviyeli hiyerarşik onay kurgulayabilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.2.1,0
5.2.1.2,kaizen türlerinin tanımlanması,kaizen girişi esnasında seçilebilecek kaizen türlerini buradan tanımlayabilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.2.1,0
5.2.1.3,kaizen alanlarının tanımlanması,kaizen girişi esnasında seçilebilecek kaizen alanlarını buradan tanımlayabilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.2.1,0
5.2.1.4,kaizen sistem sorumlularının tanımlanması,kaizen sürecinin yetkilisi olan temel onayları verecek kişileri buradan tanımlayabilirsiniz..,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.2.1,0
5.2.1.5,kaizen sınıflandırmalarının tanımlanması,“kaizen sınıflandırması” ayarını aktif ettiyseniz alanı kullanarak “kaizen sınıflandırmaları” ‘nı tanımlayabilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.2.1,0
5.2.1.6,kaizen ret nedenlerinin tanımlanması,"kaizen ret nedenlerinin tanımlanmasını bakımını yapabilirsiniz. kaizenin, ret nedeni bazında ödüllendirilmesini istiyorsanız, ret nedenlerine puan tanımlayabilirsiniz",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.2.1,0
5.2.2,genel kaizen ayarları,,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,0,5.2,0
5.2.2.1,maksimum kaizen ekip üyesi,kaizen girişi esnasında girilebilecek maksimum ekip üyesi sayısını belirleyebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.2.2,0
5.2.2.2,ekonomik etki gizliliği,kaizen girişi esnasında detay ekranında ekonomik etki alanlarını göstermek istemiyorsanız ayarı aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.2.2,0
5.2.2.3,i̇lk amir kaizen bölüm sorumlusu,kaizen bölüm sorumlusu olarak kaizeni yaratan çalışanın ilk amirini belirlemek onay yetkisini ona devretmek istiyorsanız ayarı aktif edebilirsiniz..,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.2.2,0
5.2.2.4,departman sorumluları kaizen onaylayabilir mi,kaizeni yaratan kişinin deparman sorumlusu kaizen onaycısı olsun istiyorsanız ayarı aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.2.2,0
5.2.2.5,yönetici kaizen onaylayabilir mi,sistem yöneticisi kaizenleri onaylasın istiyorsanız ayarı aktif edebilirsiniz..,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.2.2,0
5.2.2.6,kaizen anket cevaplama ekranını geç,,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,0,5.2.2,0
5.2.2.7,kaizen onayıcısı kaizen soru seti cevaplasın,,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,0,5.2.2,0
5.2.2.8,kaizen puanlarını böl,"kaizene ekstra puan eklenebilir mi kaizen sistem sorumlusu var kaizen sınıflandırma kaizen türü çoklu seçilebilir mi kaizen dosya yükleme zorunluluğu birden fazla kişiden görüş istenebilir mi kaizen tamamlanması geri alınabilir mi • kaizen değerlendirme kılavuzu • muhasebe raporu ödüllendirmeleri • soru seti ayarları • şampiyonluk ayarları • ramak kala ayarları • ramak kala ana veriler • ramak kala sorumlularının belirlenmesi • genel ramak kala ayarları • birden fazla kişiden görüş istenebilir mi • ramak kala puanlarını böl • ramak kala ödülü açık olsun • ramak kala dosya yükleme zorunluluğu • ramak kala puanları dinamik olarak ayarlansın • ramak kala tamamlanması geri alınabilir mi • 5s süreci ayarları • 5s ana veri ayarları • denetimi güncellemek gün limiti • departman verilerinin tanımlanması • alanlar verisinin tanımlanması • seçenekler verisinin tanımlanması • bölümler verisinin tanımlanması • soru tipleri verisinin tanımlanması • yıldız kuralı verisinin tanımlanması • aylık denetim ayarları • haftalık denetim ayarları • temizlik ayarları • denetimi güncellemek gün limiti • yöntemler verisinin tanımlanması • periyotlar verisinin tanımlanması • cihaz durumları verisinin tanımlanması • vardiyalar verisinin tanımlanması • genel 5s ayarları • i̇kincil alan sorumlusu • temizlik denetimi • haftalık denetim • biyö ayarları • biyö ana veri ayarları • projeler verisinin tanımlanması • kategoriler verisinin tanımlanması • genel biyö ayarları • gösterilecek alanların seçilmesi • beğenmeme sayısı gözüksün • kullanıcılara güncellemeler, yeni eklenen bilgiler eğitimler hakkında günlük özet maili gönderilsin mi • genel ayarlar • ana veriler • kademelerin tanımlanması • hazır cevapların tanımlanması • görüşlerin tanımlanması • kullanıcı gruplarının tanımlanması • rollerin tanımlanması • bölümlerin tanımlanması • departmanların tanımlanması • i̇ş birimlerinin tanımlanması • süreçlerin tanımlanması • makine (hat) tanımlanması • rapor ayarları • öneriler raporu excel alanlarının belirlenmesi • kaizenler raporu excel alanlarının belirlenmesi • ramak kala raporu excel alanlarının belirlenmesi • kullanıcı raporu excel çıktısı alanlarının belirlenmesi • i̇statistik ayarları • genel istatistik ayarları • başlangıç tarihinin belirlenmesi • kümülatif istatistik ayarları • öneri istatistik ayarları • kaizen öneri ayarları • ramak kala öneri ayarları • grafik renklerinin belirlenmesi • entegrasyon ayarları • hazır entegrasyon ayarları • qdms entegrasyonu ayarları • beam entegrasyonu ayarları • codec entegrasyonu ayarları • smartsheet entegrasyonu ayarları • ldap entegrasyonu ayarları • mail entegrasyonu ayarları • google translate entegrasyonu ayarları • gpt entegrasyonu ayarları • dış entegrasyon ayarları • api token üretilmesi • entegrasyon dokümantasyonuna erişim • erişim i̇zni ayarları • mail ayarları",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.2.2,0
